puhekieli	kirjakieli	english	my	category
läppäri	kannettava tietokone	laptop	လက်ပ်တော့	
näppis	näppäimistö	keyboard	ကီးဘုတ်	
bändi	yhtye	band	တေးဂီတအဖွဲ့	
biisi	kappale	song	သီချင်း	
mikki	mikrofoni	microphone	မိုက်ခရိုဖုန်း	
bileet	juhlat	party	ပါတီ / ပွဲ	
festarit	festivaali	festival	ပွဲတော်	
leffa	elokuva	movie	ရုပ်ရှင်	
pölliä	varastaa	to steal	ခိုးရန်	
sytkäri	sytytin	lighter	မီးခြစ်	
rööki	tupakka	cigarette	စီးကရက်	
kiska	kioski	kiosk	kiosk ဆိုင်	
bussi	linja-auto	bus	ဘတ်စ်ကား	
paatti	vene / laiva	boat / ship	လှေ / သင်္ဘော	
moka	virhe	mistake	အမှား	
venata	odottaa	to wait	စောင့်ရန်	
sekka	sekunti	second	စက္ကန့်	
minsa	minuutti	minute	မိနစ်	
kiitti	kiitos	thanks	ကျေးဇူးတင်ပါတယ်	
sori	anteeksi	sorry	တောင်းပန်ပါတယ်	
piuha	johto	wire / cable	ဝါယာကြိုး / ကေဘယ်ကြိုး	
appi / äppi	sovellus	app / application	app / အက်ပ်	
keli	sää	weather	ရာသီဥတု	
skipata	jättää väliin	to skip	ကျော်ရန်	
synttärit	syntymäpäivät	birthday	မွေးနေ့	
päikkärit	päiväunet	nap	နေ့ခင်းအိပ်စက်ခြင်း	
vika	viimeinen	last	နောက်ဆုံး	
messissä	mukana	with / along	အတူ / ပါဝင်၍	
läppä	vitsi	joke	ဟာသ	
ostari	ostoskeskus	shopping mall	ဈေးဝယ်စင်တာ	
mutsi	äiti	mother / mum	အမေ	
faija	isä	father / dad	အဖေ	
intti	armeija	army / military	စစ်တပ်	
tsekata	katsoa / tarkistaa	to check / look	စစ်ရန် / ကြည့်ရန်	
moikata	tervehtiä	to greet	နှုတ်ဆက်ရန်	
terkkuja	terveiset	greetings / regards	နှုတ်ဆက်စကား	
alkkarit	alushousut	underpants	အတွင်းခံဘောင်းဘီ	
kumpparit	kumisaappaat	rubber boots	ရော်ဘာဘွတ်ဖိနပ်	
hengata	oleskella	to hang out	အတူတူ အချိန်ဖြုန်းရန်	
itsari	itsemurha	suicide	ကိုယ့်ကိုယ်ကို သတ်သေခြင်း	
fiilis	tunne / olo	feeling / vibe	ခံစားချက် / အငွေ့အသက်	
meininki	tunnelma	atmosphere / vibe	ပတ်ဝန်းကျင်အငွေ့အသက်	
meinata	aikoa	to intend / mean	ရည်ရွယ်ရန် / ဆိုလိုရန်	
naama	kasvot	face	မျက်နှာ	
maha	vatsa	stomach / belly	ဝမ်းဗိုက်	
mahis	mahdollisuus	opportunity / chance	အခွင့်အရေး	
simppeli	yksinkertainen	simple	ရိုးရှင်းသော	
voda	vesi	water	ရေ	
notski	nuotio	campfire	campfire/ တောတွင်းစခန်းမီးပုံ	
hedari	päänsärky	headache	ခေါင်းကိုက်ခြင်း	
sydäri	sydänkohtaus	heart attack	နှလုံးရုတ်တရက်ဖောက်ခြင်း	
hauva	koira	dog	ခွေး	
katti	kissa	cat	ကြောင်	
pupu	jänis	rabbit / bunny	ယုန်	
amppari	ampiainen	bee / wasp	ပျား / နကျယ်ကောင်	
